dataset,model,status,error,timestamp
heart,mlp,FAILED,No results generated,2025-07-13T09:40:40.431768
heart,random_forest,FAILED,No results generated,2025-07-13T09:40:40.844424
heart,logistic_regression,FAILED,No results generated,2025-07-13T09:40:40.873568
heart,xgboost,FAILED,No results generated,2025-07-13T09:40:41.587666
heart,decision_tree,FAILED,No results generated,2025-07-13T09:40:41.610775
diabetes,mlp,FAILED,No results generated,2025-07-13T09:40:41.645093
diabetes,random_forest,FAILED,No results generated,2025-07-13T09:40:41.669165
diabetes,logistic_regression,FAILED,No results generated,2025-07-13T09:40:41.689307
diabetes,xgboost,FAILED,No results generated,2025-07-13T09:40:41.992000
diabetes,decision_tree,FAILED,No results generated,2025-07-13T09:40:42.033863
adult,mlp,FAILED,No results generated,2025-07-13T09:40:42.499199
adult,random_forest,FAILED,No results generated,2025-07-13T09:40:43.115742
adult,logistic_regression,FAILED,No results generated,2025-07-13T09:40:43.582705
adult,xgboost,FAILED,No results generated,2025-07-13T09:40:44.082199
adult,decision_tree,FAILED,No results generated,2025-07-13T09:40:44.568206
bank,mlp,FAILED,No results generated,2025-07-13T09:40:45.309765
bank,random_forest,FAILED,No results generated,2025-07-13T09:40:46.117580
bank,logistic_regression,FAILED,No results generated,2025-07-13T09:40:46.849063
bank,xgboost,FAILED,No results generated,2025-07-13T09:40:47.520855
bank,decision_tree,FAILED,No results generated,2025-07-13T09:40:48.150348
german,mlp,FAILED,No results generated,2025-07-13T09:40:48.201085
german,random_forest,FAILED,No results generated,2025-07-13T09:40:48.234822
german,logistic_regression,FAILED,No results generated,2025-07-13T09:40:48.266535
german,xgboost,FAILED,No results generated,2025-07-13T09:40:48.305565
german,decision_tree,FAILED,No results generated,2025-07-13T09:40:48.339746
